Component,percent_w_w,Functional_role
Purified Water,q.s. to 100,"Primary solvent, formulation base"
Minoxidil,2.0–5.0,"Primary hair-growth active; vasodilation, anagen induction"
Niacinamide (Vitamin B3),3.0,"Barrier support, scalp conditioning, irritation mitigation"
Resveratrol,0.3,Antioxidant; supports Wnt/β-catenin signaling
Licochalcone A,0.1,"Anti-inflammatory; reduces scalp inflammation, supports follicular signaling"
Ferulic Acid,0.2,Antioxidant stabilizer; protects polyphenols from oxidation
Melatonin,5,Hair-cycle modulation; antioxidant; anagen support
Menthol,0.2,Sensory cooling; mild follicular penetration support
Propylene Glycol,10.0,Cosolvent; improves solubility and follicular delivery
Ethanol (96%),15.0,Solvent; enhances delivery of minoxidil
Glycerin,3.0,Humectant; maintains scalp hydration
Carbomer,0.3,Rheology modifier; cream/gel structure
Triethanolamine,0.3,pH adjustment; carbomer neutralization
Phenoxyethanol / Ethylhexylglycerin,1.0,Preservative system
EDTA,0.05,Stability enhancement; metal ion control