Pair,Predicted_Synergistic_Signal,Synergy_Type_Dominant,Confidence,Flag
D-Glucose + D-Fructose,Increased solubility and dispersion of phenolics,Matrix facilitation,High,SAFE
D-Glucose + Sucrose,No functional interaction detected,Neutral co-presence,High,SAFE
D-Fructose + Sucrose,Osmotic and viscosity effects only,Physical matrix effect,High,SAFE
D-Glucose + Ferulic acid,Improved phenolic stability via hydrogen bonding,Stability enhancement,Medium–High,SAFE
D-Fructose + Ferulic acid,Minor increase in oxidative degradation risk,Weak antagonism (chemical),Medium,LOW_RISK
Sucrose + Ferulic acid,Reduced free phenolic availability,Bioavailability dampening,Medium,MODERATE_RISK
D-Glucose + p-Coumaric acid,No adverse interaction predicted,Neutral,High,SAFE
D-Fructose + p-Coumaric acid,Enhanced intestinal uptake (predicted),Absorption synergy,Medium,SAFE
Sucrose + p-Coumaric acid,Slight dilution of functional signal,Exposure dilution,Medium,LOW_RISK
D-Glucose + Syringic acid,Stabilization against oxidative degradation,Stability synergy,Medium–High,SAFE
D-Fructose + Syringic acid,No meaningful interaction,Neutral,High,SAFE
Sucrose + Syringic acid,Reduced diffusion rate in matrix,Physical hindrance,Medium,LOW_RISK
D-Glucose + Chrysin,Increased apparent solubility,Matrix-enabled bioavailability,Medium,SAFE
D-Fructose + Chrysin,Possible glycation risk at high heat,Processing-sensitive antagonism,Low–Medium,MODERATE_RISK
Sucrose + Chrysin,Reduced absorption efficiency,Bioavailability suppression,Medium,MODERATE_RISK
Ferulic acid + p-Coumaric acid,Additive antioxidant capacity,Additive functional synergy,High,SAFE
Ferulic acid + Syringic acid,Cooperative ROS scavenging,Functional complementarity,High,SAFE
p-Coumaric acid + Syringic acid,Overlapping antioxidant pathways,Redundant synergy,Medium–High,LOW_RISK
Ferulic acid + Chrysin,Enhanced anti-inflammatory signal,Multi-target synergy,Medium,SAFE
p-Coumaric acid + Chrysin,Weak cumulative benefit,Partial redundancy,Medium,LOW_RISK
Syringic acid + Chrysin,No adverse interaction predicted,Neutral,Medium–High,SAFE